Owner ID,Owner,Team ID,Team Name,Rank,Wins,Losses,Ties,Final Place
36047,santiago,1,Westchester United,8,7,6,0,7th Place
41330,alex,4,ALpocalypse Now,2,7,6,0,4th Place
66048,quino,8,Come Here Snowflake,9,6,7,0,11th Place
108138,Marlone,6,BigDicksNoWhammies,11,5,8,0,10th Place
108610,Isaac,7,Azteks,5,7,6,0,2nd Place
126705,Jovan,10,I'm 9,7,7,6,0,8th Place
309543,Charlie,3,Mobb,6,7,6,0,6th Place
476752,Mike,2,Chierfs,10,5,8,0,12th Place
1465323,Javier,5,Gladiators,4,7,6,0,5th Place
1593176,Alex,9,Yo Soy Tu Papa,3,7,6,0,1st Place
2291835,Monica,12,Mother of Touchdowns,12,4,9,0,9th Place
9856334,Fabian,11,Monsters of the Gridiron,1,9,4,0,3rd Place
